module,incoming,outgoing,total
app.core,0,68,68
app.core.database,3,61,64
app.models,12,49,61
app.services,0,39,39
app.schemas,0,35,35
app.core.context,2,22,24
app.api.v1.discovery.cmdb.analysis,20,2,22
app.models.client.account,2,19,21
app.services.crewai.flow.service,7,13,20
app.api.v1.discovery,12,6,18
app.models.data.import,6,10,16
app.api.v1.endpoints.discovery,14,1,15
app.schemas.sixr.analysis,0,14,14
app.api.v1.endpoints.data.import.field.mapping,13,1,14
app.api.v1.endpoints.agent.discovery,12,2,14
app.api.v1.auth.handlers.admin.handlers,11,3,14
app.services.field.mapper.modular,4,9,13
app.models.sixr.analysis,4,9,13
app.models.rbac,2,11,13
app.api.v1.endpoints.sixr.analysis,12,1,13
app.models.asset,2,10,12
app.api.v1.auth.handlers.user.management.handlers,8,4,12
app.api.v1.auth.handlers.authentication.handlers,8,4,12
app.api.v1.endpoints.sixr.handlers.background.tasks,8,3,11
app.api.v1.endpoints.sixr.analysis.backup,11,0,11
app.api.v1.endpoints.data.import.core.import,10,1,11
app.api.v1.endpoints.asset.inventory,10,1,11
app.api.v1.endpoints,10,1,11
app.api.v1.discovery.chat.interface,9,2,11
app.api.v1.discovery.asset.management.modular,8,3,11
app.services.sixr.engine.modular,1,9,10
app.services.auth.services,4,6,10
app.core.rbac.middleware,4,6,10
app.api.v1.endpoints.asset.workflow,10,0,10
app.api.v1.discovery.persistence,0,10,10
app.api.v1.auth.rbac.original,10,0,10
app.api.v1.auth.rbac,10,0,10
app.api.v1.admin.engagement.management,8,2,10
app.services.rbac.service,4,5,9
app.services.embedding.service,7,2,9
app.services.auth.services.admin.operations.service,6,3,9
app.schemas.auth.schemas,0,9,9
app.core.config,0,9,9
app.api.v1.endpoints.data.import.asset.processing,8,1,9
app.api.v1.discovery.processor,5,4,9
app.api.v1.discovery.feedback.system,7,2,9
app.api.v1.auth.auth.utils,7,2,9
app.api.v1.admin.client.management,7,2,9
app.services.crewai.flow.handlers,7,1,8
app.services.auth.services.user.management.service,6,2,8
app.services.auth.services.authentication.service,5,3,8
app.services.agent.ui.bridge.handlers,6,2,8
app.api.v1.endpoints.sixr.handlers.iteration.handler,7,1,8
app.api.v1.endpoints.sixr.handlers.analysis.endpoints,7,1,8
app.api.v1.endpoints.migrations,8,0,8
app.api.v1.endpoints.discovery.handlers.cmdb.analysis,6,2,8
app.api.v1.endpoints.data.import.quality.analysis,6,2,8
app.api.v1.api,8,0,8
app.api.v1.admin.platform.admin.handlers,8,0,8
app.api.v1.admin.client.management.original,8,0,8
app.services.tools.sixr.tools,5,2,7
app.services.tools,1,6,7
app.services.session.management.service,6,1,7
app.services.multi.model.service,3,4,7
app.services.llm.usage.tracker,4,3,7
app.schemas.admin.schemas,0,7,7
app.api.v1.endpoints.sixr.websocket,6,1,7
app.api.v1.endpoints.sixr.handlers.parameter.management,6,1,7
app.api.v1.endpoints.data.import.learning.integration,6,1,7
app.api.v1.endpoints.data.import,6,1,7
app.api.v1.discovery.asset.handlers.asset.analysis,5,2,7
app.api.v1.discovery.asset.handlers,5,2,7
app.api.v1.auth.handlers.demo.handlers,5,2,7
app.api.v1.auth.handlers,4,3,7
app.api.v1.auth,4,3,7
app.api.v1.admin.session.comparison.original,7,0,7
app.services.tools.sixr.handlers,5,1,6
app.services.tech.debt.handlers,5,1,6
app.services.session.comparison.service,5,1,6
app.services.rbac.handlers.user.management.handler,4,2,6
app.services.rbac.handlers.base.handler,3,3,6
app.services.rbac.handlers.admin.operations.handler,5,1,6
app.services.models.agent.communication,0,6,6
app.services.models,1,5,6
app.services.crewai.flow.handlers.data.cleanup.handler,5,1,6
app.services.auth.services.rbac.core.service,3,3,6
app.services.agent.ui.bridge.handlers.classification.handler,5,1,6
app.services.agent.ui.bridge,3,3,6
app.services.agent.learning.system,4,2,6
app.api.v1.endpoints.websocket,5,1,6
app.api.v1.endpoints.sixr.handlers,5,1,6
app.api.v1.endpoints.discovery.handlers.data.processing,4,2,6
app.api.v1.endpoints.demo,6,0,6
app.api.v1.endpoints.data.import.utilities,2,4,6
app.api.v1.endpoints.data.import.critical.attributes,5,1,6
app.api.v1.endpoints.data.cleanup,4,2,6
app.api.v1.discovery.utils,4,2,6
app.api.v1.discovery.serialization,0,6,6
app.api.v1.discovery.models,0,6,6
app.api.v1.admin.llm.usage,6,0,6
app.api.v1.admin.engagement.management.handlers.engagement.crud.handler,4,2,6
app.api.v1.admin.client.management.handlers.client.crud.handler,4,2,6
app.services.tools.sixr.handlers.tool.manager,4,1,5
app.services.tools.sixr.handlers.analysis.tools,3,2,5
app.services.sixr.handlers,4,1,5
app.services.sixr.agents.modular,3,2,5
app.services.rbac.handlers.access.validation.handler,4,1,5
app.services.data.cleanup.handlers,4,1,5
app.services.asset.processing.handlers.asset.intelligence.handler,4,1,5
app.services.agent.ui.bridge.handlers.insight.handler,4,1,5
app.models.rbac.enhanced,2,3,5
app.models.migration,2,3,5
app.models.llm.usage,2,3,5
app.models.feedback,2,3,5
app.models.data.import.session,2,3,5
app.core.auth,4,1,5
app.api.v1.endpoints.sixr.handlers.recommendation.handler,4,1,5
app.api.v1.endpoints.discovery.handlers,4,1,5
app.api.v1.endpoints.chat,4,1,5
app.services.tools.field.mapping.tool,1,3,4
app.services.tech.debt.analysis.service,1,3,4
app.services.sixr.agents.handlers,3,1,4
app.services.rbac.handlers.enhanced.rbac.service,3,1,4
app.services.field.mapper.handlers,3,1,4
app.services.crewai.handlers,4,0,4
app.services.crewai.flow.handlers.ui.interaction.handler,3,1,4
app.services.analysis.handlers,3,1,4
app.services.agents,2,2,4
app.services.agent.monitor,0,4,4
app.schemas.asset.schemas,2,2,4
app.models.tags,2,2,4
app.api.v1.endpoints.workflow.integration,4,0,4
app.api.v1.endpoints.monitoring,3,1,4
app.api.v1.endpoints.discovery.handlers.templates,2,2,4
app.api.v1.endpoints.agent.learning.endpoints,3,1,4
app.api.v1.discovery.discovery.flow,2,2,4
app.api.v1.discovery.database.test,4,0,4
app.api.v1.discovery.asset.handlers.asset.crud,2,2,4
app.api.v1.discovery.app.server.mappings,2,2,4
app.api.v1.admin.session.comparison,3,1,4
app.api.v1.admin,3,1,4
app.services.tools.sixr.tools.backup,3,0,3
app.services.tools.asset.intelligence.tools,1,2,3
app.services.sixr.agents.handlers.task.coordinator,2,1,3
app.services.sixr.agents.handlers.response.handler,2,1,3
app.services.sixr.agents.handlers.agent.manager,2,1,3
app.services.memory,0,3,3
app.services.deepinfra.llm,2,1,3
app.services.data.cleanup.handlers.agent.processing.handler,1,2,3
app.services.data.cleanup.handlers.agent.analysis.handler,1,2,3
app.services.crewai.handlers.crew.manager,2,1,3
app.services.crewai.handlers.analysis.engine,2,1,3
app.services.crewai.handlers.agent.coordinator,2,1,3
app.services.crewai.flow.handlers.config.handler,2,1,3
app.services.asset.processing.service,2,1,3
app.services.asset.processing.handlers,2,1,3
app.services.agent.ui.bridge.handlers.question.handler,2,1,3
app.schemas.migration,2,1,3
app.models.data.import.quality,2,1,3
app.models.data.import.mapping,2,1,3
app.models.data.import.learning,2,1,3
app.models.data.import.custom.fields,2,1,3
app.models.data.import.core,2,1,3
app.models.assessment,2,1,3
app.api.v1.endpoints.sixr.analysis.modular,3,0,3
app.api.v1.discovery.testing.endpoints,2,1,3
app.api.v1.discovery.asset.handlers.asset.processing,1,2,3
app.api.v1.admin.session.comparison.modular,3,0,3
app.websocket.manager,0,2,2
app.websocket,0,2,2
app.services.tools.sixr.handlers.validation.tools,0,2,2
app.services.tools.sixr.handlers.generation.tools,0,2,2
app.services.tools.sixr.handlers.code.analysis.tools,0,2,2
app.services.rbac.handlers,0,2,2
app.services.data.cleanup.handlers.quality.assessment.handler,0,2,2
app.services.data.cleanup.handlers.cleanup.operations.handler,0,2,2
app.services.crewai.handlers.task.processor,1,1,2
app.services.analysis.modular,1,1,2
app.services.analysis.handlers.intelligence.engine,1,1,2
app.services.analysis.handlers.core.analysis,0,2,2
app.services.agent.ui.bridge.handlers.storage.manager,0,2,2
app.services.agent.registry,0,2,2
app.api.v1.endpoints.discovery.handlers.feedback,0,2,2
app.api.v1.discovery.asset.handlers.asset.validation,0,2,2
app.api.v1.discovery.asset.handlers.asset.utils,0,2,2
app.api.v1.admin.engagement.management.handlers,1,1,2
app.api.v1.admin.client.management.handlers,1,1,2
app.services.tools.sixr.tools.modular,1,0,1
app.services.tech.debt.handlers.security.analysis.handler,0,1,1
app.services.tech.debt.handlers.risk.assessment.handler,0,1,1
app.services.tech.debt.handlers.os.analysis.handler,0,1,1
app.services.tech.debt.handlers.infra.analysis.handler,0,1,1
app.services.tech.debt.handlers.app.analysis.handler,0,1,1
app.services.sixr.handlers.strategy.analyzer,0,1,1
app.services.sixr.handlers.risk.assessor,0,1,1
app.services.sixr.handlers.recommendation.engine,0,1,1
app.services.sixr.handlers.cost.calculator,0,1,1
app.services.field.mapper.handlers.validation.handler,0,1,1
app.services.field.mapper.handlers.mapping.engine,0,1,1
app.services.field.mapper.handlers.agent.interface,0,1,1
app.services.crewai.flow.handlers.validation.handler,0,1,1
app.services.crewai.flow.handlers.parsing.handler,0,1,1
app.services.crewai.flow.handlers.flow.state.handler,0,1,1
app.services.crewai.flow.handlers.execution.handler,0,1,1
app.services.asset.processing.handlers.asset.workflow.handler,0,1,1
app.services.asset.processing.handlers.asset.validation.handler,0,1,1
app.services.analysis.handlers.placeholder.handler,0,1,1
app.services.agent.ui.bridge.handlers.context.handler,0,1,1
app.services.agent.ui.bridge.handlers.analysis.handler,0,1,1
app.schemas.flow.schemas,0,1,1
app.schemas.engagement,0,1,1
app.schemas.discovery.schemas,0,1,1
app.schemas.demo,0,1,1
app.models.data.import.enums,0,1,1
app.models.cmdb.asset,0,1,1
app.models.agent.communication,0,1,1
app.core.middleware,1,0,1
app.api.v1.discovery.feedback.fallback,1,0,1
app.api.v1.discovery.asset.management.original.backupONLY,1,0,1
